gsm,patient,timepoint,mirna_names,expression
GSM1688368,A,1,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.8549791  2.18418234 2.5322964  ... 1.41000193 3.72745529 1.37007761]
GSM1688369,A,2,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.46976308 2.32024404 2.11188909 ... 1.4279172  2.45035886 1.35776645]
GSM1688370,A,3,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.44937518 2.51028473 2.08350828 ... 1.12366167 2.571076   1.06683767]
GSM1688371,A,4,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.77752246 2.72467863 3.01272161 ... 1.14046074 3.3103833  1.44359186]
GSM1688372,A,5,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.53821818 2.03050997 2.47037491 ... 1.23484084 2.51854696 1.48670735]
GSM1688373,A,6,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.64734521 2.4875301  3.8446761  ... 1.13494129 2.60608183 2.06830063]
GSM1688374,A,7,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.74201782 2.38496865 2.05434445 ... 1.61713809 2.75040914 1.11795417]
GSM1688375,A,8,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.57659484 2.43232992 2.26110932 ... 1.29523637 3.2578999  1.01839029]
GSM1688376,B,1,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.6280877  3.07423226 2.07004274 ... 1.42195372 3.14702341 1.02948369]
GSM1688377,B,2,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.56037848 2.27997045 2.99693482 ... 0.99237648 2.61796971 1.69502608]
GSM1688378,B,3,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.39178338 2.27623984 2.11322285 ... 1.12688964 3.24421599 1.14952997]
GSM1688379,B,4,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.20158871 2.46520689 2.26320502 ... 1.56859187 3.30560433 1.14025868]
GSM1688380,B,5,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.71413746 2.34733209 2.36825414 ... 1.28182973 3.36314609 1.24505397]
GSM1688381,B,6,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.5782506  2.09555488 2.11322285 ... 1.55329896 3.06662193 1.09695111]
GSM1688382,B,7,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.45558875 2.51249782 2.90136625 ... 0.98656966 2.57814345 1.65107759]
GSM1688383,B,8,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.90285692 2.84854021 2.19536351 ... 1.23563603 2.98054347 1.32339247]
GSM1688384,C,1,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.61209204 2.51429756 2.40605279 ... 1.50121005 2.12794932 1.39913412]
GSM1688385,C,2,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.30237541 2.14356104 2.00470492 ... 1.33211136 2.42876044 1.29658263]
GSM1688386,C,3,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.94354924 2.06044123 4.11675303 ... 1.31226171 3.61479178 2.17690665]
GSM1688387,C,4,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.46921786 2.3787324  2.25753436 ... 1.44690418 3.21280656 1.09349645]
GSM1688388,C,5,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.73397005 2.27086558 2.47068593 ... 1.26645135 3.07292531 1.35599351]
GSM1688389,C,6,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.61209204 2.36719599 2.45866386 ... 1.49154867 2.45318796 1.143282  ]
GSM1688390,C,7,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.71472349 2.23366647 2.40254123 ... 1.40336562 2.56899952 1.37673403]
GSM1688391,C,8,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.84346137 2.44804436 2.97666452 ... 1.09249796 2.72104411 1.9858878 ]
GSM1688392,D,1,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.66784585 2.4295492  2.17066682 ... 1.24535902 3.10999567 0.96471419]
GSM1688393,D,2,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.57058079 2.16700524 2.3053811  ... 1.31758034 3.18153078 1.49529201]
